State_TW,State_EN,Gender,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
宏都拉斯,(HONDURAS),Female,40,62,9,2,6,16,0,3,2,0,0,1,1,6,0,4,0,0,7,1,0,0
牙買加,(JAMAICA),Male,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
牙買加,(JAMAICA),Female,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
墨西哥,(MEXICO),Male,23,54,29,14,6,3,2,3,1,0,1,0,0,0,0,1,0,0,3,0,0,0
墨西哥,(MEXICO),Female,12,29,10,8,4,4,1,0,0,0,0,0,1,1,0,1,0,0,4,0,0,0
尼加拉瓜,(NICARAGUA),Male,34,29,6,5,13,4,0,2,0,0,0,0,0,1,0,0,0,0,9,1,0,0
尼加拉瓜,(NICARAGUA),Female,7,18,1,2,11,8,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
巴拿馬,(PANAMA),Male,8,20,0,2,3,3,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
巴拿馬,(PANAMA),Female,5,9,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
美國,(U S A),Male,"1,344","3,341",411,940,587,575,77,235,43,83,42,42,39,61,68,95,13,37,290,52,9,0
美國,(U S A),Female,428,"1,424",125,401,157,260,30,76,7,39,13,12,14,27,28,32,4,19,105,29,20,0
馬紹爾群島國,(MARSHALL),Male,8,6,4,1,0,2,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0
馬紹爾群島國,(MARSHALL),Female,21,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
阿根廷,(ARGENTINA),Male,7,9,7,6,0,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
阿根廷,(ARGENTINA),Female,2,2,8,1,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
玻利維亞,(BOLIVIA),Male,2,2,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
玻利維亞,(BOLIVIA),Female,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴西,(BRAZIL),Male,34,58,11,14,5,9,6,3,1,2,0,0,18,2,1,1,0,1,4,0,0,0
巴西,(BRAZIL),Female,26,32,14,3,2,6,1,0,0,1,0,0,2,2,0,2,0,0,2,0,0,0
智利,(CHILE),Male,10,12,3,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
智利,(CHILE),Female,8,6,3,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
哥倫比亞,(COLOMBIA),Male,14,22,5,8,10,3,1,2,0,0,0,1,3,1,1,0,0,0,6,0,0,0
哥倫比亞,(COLOMBIA),Female,11,9,3,1,2,8,0,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0
厄瓜多,(ECUADOR),Male,2,6,1,1,2,1,0,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0
厄瓜多,(ECUADOR),Female,3,7,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
蓋亞那,(GUYANA),Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蓋亞那,(GUYANA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
烏拉圭,(URUGUAY),Male,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
烏拉圭,(URUGUAY),Female,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
巴拉圭,(PARAGUAY),Male,81,95,7,3,21,10,17,1,0,0,2,0,0,0,0,2,0,1,5,0,0,0
巴拉圭,(PARAGUAY),Female,75,78,2,3,14,5,21,2,0,1,2,0,0,0,0,1,0,0,4,0,0,0
秘魯,(PERU),Male,10,17,8,4,4,4,0,0,1,0,1,0,0,3,0,2,0,0,1,0,0,0
秘魯,(PERU),Female,12,10,6,9,3,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
蘇利南,(SURINAME),Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蘇利南,(SURINAME),Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千里達,(TRINIDAD),Male,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
千里達,(TRINIDAD),Female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
委內瑞拉,(VENEZUELA),Male,16,10,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
委內瑞拉,(VENEZUELA),Female,9,3,7,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
多米尼克,(DOMINICA),Male,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多米尼克,(DOMINICA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿爾及利亞,(ALGERIA),Male,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿爾及利亞,(ALGERIA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
波札那,(BOTSWANA),Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
波札那,(BOTSWANA),Female,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蒲隆地,(BURUNDI),Male,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蒲隆地,(BURUNDI),Female,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喀麥隆,(CAMEROON),Male,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喀麥隆,(CAMEROON),Female,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
查德,(CHAD),Male,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
查德,(CHAD),Female,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
剛果,(CONGO),Male,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
剛果,(CONGO),Female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
貝南,(BENIN),Male,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
貝南,(BENIN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
衣索匹亞,(ETHIOPIA),Male,22,123,6,10,3,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
衣索匹亞,(ETHIOPIA),Female,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加彭,(GABON),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加彭,(GABON),Female,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
甘比亞,(GAMBIA),Male,20,7,21,6,1,1,1,4,7,0,1,3,2,2,1,1,0,0,5,0,0,0
甘比亞,(GAMBIA),Female,0,2,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0
迦納,(GHANA),Male,9,1,0,2,3,3,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0
迦納,(GHANA),Female,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
幾內亞,(GUINEA),Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
幾內亞,(GUINEA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
象牙海岸,(COTE D'IVOIRE),Male,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
象牙海岸,(COTE D'IVOIRE),Female,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
肯亞,(KENYA),Male,0,9,0,0,1,9,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0
肯亞,(KENYA),Female,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
賴索托,(LESOTHO),Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
賴索托,(LESOTHO),Female,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
利比亞,(LIBYA),Male,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利比亞,(LIBYA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬達加斯加,(MADAGASCAR),Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬達加斯加,(MADAGASCAR),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬拉威,(MALAWI),Male,2,12,3,7,1,1,0,0,0,1,0,0,0,1,0,11,0,0,2,0,0,0
馬拉威,(MALAWI),Female,0,7,1,2,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0
馬利,(MALI),Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬利,(MALI),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
模里西斯,(MAURITIUS),Male,2,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
模里西斯,(MAURITIUS),Female,2,3,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
摩洛哥,(MOROCCO),Male,6,5,2,4,4,4,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0
摩洛哥,(MOROCCO),Female,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尼日,(NIGER),Male,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尼日,(NIGER),Female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈及利亞,(NIGERIA),Male,34,18,15,8,5,7,0,2,1,2,0,1,0,0,0,1,0,2,2,1,0,0
奈及利亞,(NIGERIA),Female,4,4,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
辛巴威,(ZIMBABWE),Male,2,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
辛巴威,(ZIMBABWE),Female,1,0,2,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
盧安達,(RWANDA),Male,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
盧安達,(RWANDA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塞內加爾,(SENEGAL),Male,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塞內加爾,(SENEGAL),Female,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
獅子山,(SIERRA LEONE),Male,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
獅子山,(SIERRA LEONE),Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南非,(SOUTH AFRICA),Male,162,118,82,145,29,69,14,53,10,10,5,14,6,10,11,6,2,13,61,15,2,0
南非,(SOUTH AFRICA),Female,112,90,68,86,33,44,15,50,8,7,3,13,2,12,1,10,4,7,62,7,0,0
蘇丹,(SUDAN),Male,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
蘇丹,(SUDAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
史瓦濟蘭,(SWAZILAND),Male,16,16,23,19,28,9,3,3,1,39,0,0,4,8,1,16,0,0,2,3,0,0
史瓦濟蘭,(SWAZILAND),Female,20,16,22,18,30,29,1,7,3,33,0,2,4,3,0,6,0,0,5,1,0,0
坦尚尼亞,(TANZANIA),Male,5,1,1,1,24,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
坦尚尼亞,(TANZANIA),Female,1,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
多哥共和國,(TOGO),Male,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
多哥共和國,(TOGO),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
突尼西亞,(TUNISIA),Male,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
突尼西亞,(TUNISIA),Female,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
烏干達,(UGANDA),Male,2,3,1,3,2,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0
烏干達,(UGANDA),Female,1,0,2,4,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0
埃及,(EGYPT),Male,12,16,9,9,5,17,0,3,0,0,0,1,0,1,0,1,0,1,20,0,0,0
埃及,(EGYPT),Female,4,7,5,2,0,7,0,2,0,1,0,0,0,0,0,0,0,0,12,0,0,0
布吉納法索,(BURKINA FASO),Male,24,9,2,7,3,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
布吉納法索,(BURKINA FASO),Female,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尚比亞,(ZAMBIA),Male,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
尚比亞,(ZAMBIA),Female,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
巴林,(BAHRAIN),Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴林,(BAHRAIN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
莫三比克,(MOZAMBIQUE),Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
莫三比克,(MOZAMBIQUE),Female,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
安哥拉,(ANGOLA),Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安哥拉,(ANGOLA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
維德角共和國,(CAPE VERDE),Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
維德角共和國,(CAPE VERDE),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉布地,(DJIBOUTI),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉布地,(DJIBOUTI),Female,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
幾內亞比索共和國,(GUINEA BISSAU),Male,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
幾內亞比索共和國,(GUINEA BISSAU),Female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
聖多美及普林西比,(SAO TOME AND PRINCIPE),Male,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
聖多美及普林西比,(SAO TOME AND PRINCIPE),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
那密比亞,(NAMIBIA),Male,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
那密比亞,(NAMIBIA),Female,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
剛果民主共和國,(THE REPUBLIC OF CONGO),Male,2,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
剛果民主共和國,(THE REPUBLIC OF CONGO),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
聖文森及格瑞那丁,(SAINT VINCENT AND THE GRENADINES),Male,9,12,5,5,6,5,0,1,0,1,0,0,0,0,0,8,0,0,2,0,0,0
聖文森及格瑞那丁,(SAINT VINCENT AND THE GRENADINES),Female,19,25,5,5,4,8,4,2,1,1,0,1,1,2,0,4,0,1,0,0,0,0
聖露西亞,(SAINT LUCIA),Male,13,4,8,4,11,16,1,3,2,2,0,1,2,3,0,2,0,0,3,0,0,0
聖露西亞,(SAINT LUCIA),Female,22,10,2,4,8,20,0,2,1,0,0,0,1,3,0,3,0,0,5,0,0,0
聖克里斯多福,(SAINT CHRISTOPHER),Male,13,9,8,4,5,4,1,0,0,0,0,0,0,4,0,7,0,0,2,0,0,0
聖克里斯多福,(SAINT CHRISTOPHER),Female,18,9,5,0,1,3,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0
貝理斯,(BELIZE),Male,23,28,11,13,29,18,0,1,0,0,0,0,1,8,0,9,0,0,4,0,0,0
貝理斯,(BELIZE),Female,25,32,4,10,27,24,0,3,0,0,0,0,4,10,0,5,0,0,5,1,0,0
其它,(OTHER),Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其它,(OTHER),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
