State_TW,State_EN,Gender,總 計 Total,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
無國籍,(STATELESS),Male,46,16,10,5,4,7,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
無國籍,(STATELESS),Female,54,3,4,5,5,8,1,7,1,0,4,1,9,0,2,2,0,0,1,1,0,0,0
阿富汗,(AFGHANISTAN),Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿富汗,(AFGHANISTAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不丹,(BHUTAN),Male,11,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
不丹,(BHUTAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汶萊,(BRUNEI DARUSSALAM),Male,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汶萊,(BRUNEI DARUSSALAM),Female,6,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
緬甸,(MYANMAR),Male,483,170,56,31,25,35,73,2,5,2,9,7,1,3,3,1,5,0,6,23,0,18,8
緬甸,(MYANMAR),Female,830,374,144,77,42,30,35,5,19,9,24,8,2,11,8,3,6,0,9,22,1,0,1
柬埔寨,(CAMBODIA),Male,13,1,4,2,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
柬埔寨,(CAMBODIA),Female,67,12,4,8,10,2,5,1,2,0,3,5,3,2,1,0,4,1,4,0,0,0,0
斯里蘭卡,(SRI LANKA),Male,37,7,8,10,2,1,5,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0
斯里蘭卡,(SRI LANKA),Female,12,1,5,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
印度,(INDIA),Male,"2,114",254,765,141,136,94,98,4,32,11,16,13,2,74,5,8,37,0,18,402,4,0,0
印度,(INDIA),Female,852,130,327,58,31,30,34,5,9,6,2,7,0,6,1,0,20,0,9,176,1,0,0
印尼,(INDONESIA),Male,"57,636","6,559",882,"9,849","9,100","5,327","5,919","1,630",981,"1,793","6,842","1,108","1,513","1,090","2,052",159,287,"1,297",544,475,145,52,32
印尼,(INDONESIA),Female,"174,614","29,010","28,906","15,853","18,492","11,596","14,442","4,343","4,639","5,317","8,811","3,999","5,704","4,313","4,797","1,379","2,743",813,"2,812","4,050","1,855",644,96
伊朗,(IRAN),Male,72,14,16,9,5,9,4,0,0,0,3,1,1,3,0,0,0,0,0,7,0,0,0
伊朗,(IRAN),Female,27,4,4,3,0,4,4,0,0,1,0,0,1,1,0,0,1,0,0,4,0,0,0
伊拉克,(IRAQ),Male,17,2,8,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
伊拉克,(IRAQ),Female,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
以色列,(ISRAEL),Male,73,13,43,0,6,3,0,0,1,0,1,1,0,0,0,1,0,0,0,3,1,0,0
以色列,(ISRAEL),Female,30,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
日本,(JAPAN),Male,"7,974",712,"3,882",484,782,355,705,37,128,24,58,34,96,14,40,19,38,3,40,503,19,1,0
日本,(JAPAN),Female,"5,557",686,"2,910",260,505,159,452,18,66,19,54,10,56,20,28,8,20,3,20,249,12,2,0
約旦,(JORDAN),Male,71,8,22,21,2,5,3,0,2,0,0,0,0,1,0,0,0,0,0,7,0,0,0
約旦,(JORDAN),Female,32,1,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
韓國,(KOREA),Male,"1,946",318,768,101,209,69,156,7,88,12,20,7,14,6,4,7,12,0,16,126,6,0,0
韓國,(KOREA),Female,"2,275",363,"1,014",116,203,64,156,5,95,14,27,3,6,6,9,12,26,2,24,123,6,1,0
寮國,(LAO PEOPLE'S DEM REP),Male,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
寮國,(LAO PEOPLE'S DEM REP),Female,16,2,1,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
黎巴嫩,(LEBANON),Male,7,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黎巴嫩,(LEBANON),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬來西亞,(MALAYSIA),Male,"10,109","1,460","1,894",967,"1,605",571,804,69,187,75,505,208,321,164,236,15,191,18,132,553,84,50,0
馬來西亞,(MALAYSIA),Female,"9,336","1,479","2,177",702,"1,342",398,821,68,179,60,338,121,363,146,155,34,250,11,93,498,57,43,1
馬爾地夫,(MALDIVES),Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
馬爾地夫,(MALDIVES),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蒙古,(MONGOLIA),Male,265,16,38,36,50,20,23,2,0,0,39,0,2,24,0,0,11,0,0,3,1,0,0
蒙古,(MONGOLIA),Female,455,21,58,56,90,25,45,5,0,0,67,1,7,38,3,0,18,0,0,15,6,0,0
尼泊爾,(NEPAL),Male,99,13,29,9,3,4,15,2,0,3,1,0,0,2,2,1,6,0,0,8,1,0,0
尼泊爾,(NEPAL),Female,13,2,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
巴基斯坦,(PAKISTAN),Male,84,14,30,11,5,10,6,0,0,0,0,0,0,0,2,1,0,0,1,4,0,0,0
巴基斯坦,(PAKISTAN),Female,14,2,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
菲律賓,(PHILIPPINES),Male,"52,660","4,484",379,"14,602","6,265","6,029","5,007","1,084","5,116","2,111","2,640",444,561,826,977,40,431,239,194,"1,106",116,0,9
菲律賓,(PHILIPPINES),Female,"88,870","8,131","6,462","16,349","10,521","9,544","10,846","1,035","8,622","4,511","2,799",618,"1,189",666,"1,420",236,"1,081",40,515,"3,757",450,62,16
沙烏地阿拉伯,(SAUDI ARABIA),Male,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沙烏地阿拉伯,(SAUDI ARABIA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新加坡,(SINGAPORE),Male,778,104,293,52,46,17,53,5,47,5,7,3,49,0,46,0,6,0,7,38,0,0,0
新加坡,(SINGAPORE),Female,649,90,277,25,31,15,43,6,32,3,4,5,29,0,36,3,9,0,3,34,3,1,0
敘利亞,(SYRIAN ARAB),Male,9,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
敘利亞,(SYRIAN ARAB),Female,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泰國,(THAILAND),Male,"50,554","6,832",219,"14,399","8,837","4,309","2,469",701,"1,541","1,430","4,870","1,114","1,388",896,493,24,564,0,110,284,72,1,1
泰國,(THAILAND),Female,"13,609","2,327",524,"3,680","1,427","1,141",758,60,435,648,"1,077",401,229,207,158,15,62,0,187,238,30,3,2
帝汶,(TIMOR),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帝汶,(TIMOR),Female,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
土耳其,(TURKEY),Male,232,47,63,15,31,49,8,1,4,0,0,0,0,0,2,0,2,0,3,4,3,0,0
土耳其,(TURKEY),Female,59,30,22,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
越南,(VIETNAM),Male,"108,444","14,622",944,"17,926","22,821","10,556","9,446","1,522","2,984","2,275","13,995","1,899","3,591","1,885","1,938",285,234,63,370,887,143,35,23
越南,(VIETNAM),Female,"75,464","15,176","3,560","12,411","9,645","6,399","6,373","1,335","2,661","1,908","6,137","1,682","2,087","1,194","1,707",297,458,92,661,"1,214",371,76,20
香港,(HONG KONG),Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香港,(HONG KONG),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
孟加拉,(BANGLADESH),Male,34,4,11,6,4,3,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0
孟加拉,(BANGLADESH),Female,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
吉里巴斯,(KIRIBATI),Male,25,7,3,1,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
吉里巴斯,(KIRIBATI),Female,35,13,2,1,1,3,12,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
吐瓦魯,(TUVALU),Male,18,5,1,2,1,0,2,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0
吐瓦魯,(TUVALU),Female,18,9,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
阿拉伯聯合大公國,(UNITED ARAB),Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿拉伯聯合大公國,(UNITED ARAB),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
索羅門,(SOLOMON),Male,46,13,2,7,0,2,18,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
索羅門,(SOLOMON),Female,40,17,0,4,0,0,13,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0
葉門,(YEMEN),Male,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
葉門,(YEMEN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴勒斯坦,(PALESTINIAN),Male,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
巴勒斯坦,(PALESTINIAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
澳大利亞,(AUSTRALIA),Male,564,80,242,34,44,26,51,4,13,4,7,6,5,4,4,8,4,3,1,19,5,0,0
澳大利亞,(AUSTRALIA),Female,290,35,147,12,22,12,35,5,3,2,1,2,4,0,5,0,0,0,0,3,2,0,0
斐濟,(FIJI),Male,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
斐濟,(FIJI),Female,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
諾魯,(NAURU),Male,8,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
諾魯,(NAURU),Female,10,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
紐西蘭,(NEW ZEALAND),Male,204,32,68,15,31,9,20,2,1,0,2,3,1,3,3,0,2,1,3,7,0,1,0
紐西蘭,(NEW ZEALAND),Female,100,10,53,6,7,4,6,1,1,2,0,0,2,3,1,2,0,0,0,1,0,1,0
東加王國,(TONGA),Male,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東加王國,(TONGA),Female,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
西薩摩亞,(WESTERN SAMOA),Male,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西薩摩亞,(WESTERN SAMOA),Female,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
萬那杜,(VANUATU),Male,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
萬那杜,(VANUATU),Female,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
密克羅尼西亞,(MICRONESIA),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
